2025-05-27 04:51:26 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-05-27 04:51:27 [main] INFO  b.c.c.b.BancodigitalJdbcApplication - Starting BancodigitalJdbcApplication using Java 21.0.6 with PID 12800 (C:\Users\Gustavo\Desktop\BancoDigitalJDBC\BancoDigitalJDBC\target\classes started by Gustavo in C:\Users\Gustavo\Desktop\BancoDigitalJDBC\BancoDigitalJDBC)
2025-05-27 04:51:27 [main] INFO  b.c.c.b.BancodigitalJdbcApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-27 04:51:40 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-05-27 04:51:40 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-27 04:51:40 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-27 04:51:40 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-05-27 04:51:41 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-27 04:51:41 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 12946 ms
2025-05-27 04:51:44 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2025-05-27 04:51:44 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
2025-05-27 04:51:47 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-05-27 04:51:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-27 04:51:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-05-27 04:51:49 [main] INFO  b.c.c.b.BancodigitalJdbcApplication - Started BancodigitalJdbcApplication in 25.201 seconds (process running for 29.201)
